,Region,District,EPA,Lat,Lon,Altitude,Gender,Literacy,Number_followers,Date_trained,Length,Farm_size,Sust_Ag_Activities,Types_Sust_Ag,Full_CA,Partial_CA,Agroforestry,Manure_making,Pit_planting,Sust_Other,Crops,Crops_Maize,Crops_Millet,Crops_Sorghum,Crops_Cassava,Crops_Sweet_Potato,Crops_European_Potato,Crops_Soya,Crops_Groundnuts,Crops_Beans,Crops_Pigeon_Pea,Crops_Cowpea,Crops_Sugarcane,Crops_Other,Vegetables,Fruit_trees,Livestock,Type_livestock,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats_Sheep,Livestock_Guinea_Fowl,Livestock_Pigs,Livestock_Other,Livestock_Rabbits,X_id
203,Central,Lilongwe,Mngwangwa,-13.81673333,33.63817667,1159.1,Female,Secondary School,29,2016-07-31,1035,0.8,Yes,Pit Planting,0,0,0,0,1,0,Maize Soya Groundnuts Other,1,0,0,0,0,0,1,1,0,0,0,0,1,Yes,No,No,,NA,NA,NA,NA,NA,NA,NA,NA,39832631
204,Central,Lilongwe,Mpingu,-13.98481,33.59825833,1143.2,Male,Primary School,23,2014-07-01,1796,2,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Manure Making Pit Planting",0,1,0,1,1,0,Maize Soya Groundnuts Beans,1,0,0,0,0,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Cattle Goats/Sheep,1,0,0,1,0,0,0,0,39832843
205,Central,Lilongwe,Mpingu,-13.98485333,33.598365,1126.8,Female,Primary School,27,2014-07-15,1782,2,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize Sweet Potato Soya Groundnuts Other,1,0,0,0,1,0,1,1,0,0,0,0,1,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39832845
206,Central,Lilongwe,Mpingu,-13.98488333,33.598445,1161.6,Female,Secondary School,9,2015-07-03,1429,2,Yes,Manure Making Pit Planting,0,0,0,1,1,0,Maize Sweet Potato Soya Groundnuts,1,0,0,0,1,0,1,1,0,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39832848
207,Central,Lilongwe,Mpingu,-13.984855,33.59832167,1161.5,Female,Primary School,45,2016-05-28,1099,1.5,Yes,Pit Planting,0,0,0,0,1,0,Maize Soya Groundnuts,1,0,0,0,0,0,1,1,0,0,0,0,0,Yes,No,Yes,Goats/Sheep,0,0,0,1,0,0,0,0,39832854
208,Central,Lilongwe,Mpingu,-13.98448,33.59830167,1153.4,Male,Secondary School,30,2015-08-31,1370,1.5,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Pit Planting",1,0,0,0,1,0,Maize Soya Groundnuts,1,0,0,0,0,0,1,1,0,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39832866
209,Central,Lilongwe,Mpingu,-13.98486,33.59815833,1137.6,Male,Secondary School,12,2016-07-03,1063,2,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Pit Planting",0,1,0,0,1,0,Maize Soya Groundnuts Beans,1,0,0,0,0,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Pigs Chickens Ducks,0,1,1,1,0,1,0,0,39832911
210,Central,Lilongwe,Mpingu,-14.00586167,33.54955167,1145.1,Male,Secondary School,25,2015-08-28,1373,2,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize Sweet Potato Soya Groundnuts Beans,1,0,0,0,1,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39832925
211,Central,Lilongwe,Mngwangwa,-13.816045,33.63856667,1157.7,Female,Primary School,28,2016-07-03,1063,1.5,Yes,"Any of maximum cover, Minimum tillage, rotations/mixtures Agroforestry Pit Planting",0,1,1,0,1,0,Maize Sorghum Sweet Potato Soya Groundnuts Beans,1,0,1,0,1,0,1,1,1,0,0,0,0,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39832933
212,Central,Lilongwe,Mngwangwa,-13.81586667,33.63852833,1160.4,Female,Primary School,38,2016-05-17,1110,3,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Any of maximum cover, Minimum tillage, rotations/mixtures Manure Making Pit Planting",1,1,0,1,1,0,Maize Soya Cow Peas Other,1,0,0,0,0,0,1,0,0,0,1,0,1,Yes,Yes,Yes,Goats/Sheep Chickens,0,1,0,1,0,0,0,0,39832937
213,Central,Lilongwe,Mngwangwa,-13.81583333,33.63844167,1156.9,Male,Primary School,20,2015-05-17,1476,2,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize European Potato Soya Groundnuts Beans Other,1,0,0,0,0,1,1,1,1,0,0,0,1,Yes,No,Yes,Pigs Chickens,0,1,0,0,0,1,0,0,39832939
214,Central,Lilongwe,Mngwangwa,-13.81586167,33.63862833,1165.1,Male,Secondary School,29,2014-10-25,1680,1,Yes,"Conservation Agriculture (a combination of maximum cover, minimum tillage, rotations/mixtures) Manure Making Pit Planting",1,0,0,1,1,0,Maize Groundnuts Other,1,0,0,0,0,0,0,1,0,0,0,0,1,Yes,No,Yes,Chickens,0,1,0,0,0,0,0,0,39832942
